Nomber;Hostname;Vendor;Model;IP;Infra Place
1;i432-spine-sw02;B4COM;CS4164U;10.225.33.1;i432-GEOP
2;i432-spine-sw01;B4COM;CS4164U;10.225.33.2;i432-GEOP
3;i432-sancore-sw02;B4COM;CS4164U;10.225.33.3;i432-GEOP
4;i432-sancore-sw01;B4COM;CS4164U;10.225.33.4;i432-GEOP
5;i432-iu-sw02;B4COM;CS4148D-6U;10.225.33.5;i432-GEOP
6;i432-iu-sw01;B4COM;CS4148D-6U;10.225.33.6;i432-GEOP
7;i432-int-sw02;B4COM;CS4148D-6U;10.225.33.7;i432-GEOP
8;i432-int-sw01;B4COM;CS4148D-6U;10.225.33.8;i432-GEOP
9;i432-ext-sw02;B4COM;CS4148D-6U;10.225.33.9;i432-GEOP
10;i432-ext-sw01;B4COM;CS4148D-6U;10.225.33.10;i432-GEOP
11;i432-br02;B4COM;MR-310;10.225.33.11;i432-GEOP
12;i432-br01;B4COM;MR-310;10.225.33.12;i432-GEOP
13;i432-mgmt-sw07;B4COM;CS2148T;10.225.33.13;i432-GEOP
14;i432-mgmt-sw06;B4COM;CS2148T;10.225.33.14;i432-GEOP
15;i432-mgmt-sw05;B4COM;CS2148T;10.225.33.15;i432-GEOP
16;i432-mgmt-sw04;B4COM;CS2148T;10.225.33.16;i432-GEOP
17;i432-mgmt-sw03;B4COM;CS2148T;10.225.33.17;i432-GEOP
18;i432-mgmt-sw02;B4COM;CS2148T;10.225.33.18;i432-GEOP
19;i432-mgmt-sw01;B4COM;CS2148T;10.225.33.19;i432-GEOP
20;i432-mgmt-sw08;B4COM;CS2148T;10.225.33.20;i432-GEOP
21;i432-san-sw06;B4COM;CS4148Q-8U;10.225.33.21;i432-GEOP
22;i432-san-sw05;B4COM;CS4148Q-8U;10.225.33.22;i432-GEOP
23;i432-san-sw04;B4COM;CS4148Q-8U;10.225.33.23;i432-GEOP
24;i432-san-sw03;B4COM;CS4148Q-8U;10.225.33.24;i432-GEOP
25;i432-san-sw02;B4COM;CS4148Q-8U;10.225.33.25;i432-GEOP
26;i432-san-sw01;B4COM;CS4148Q-8U;10.225.33.26;i432-GEOP
27;i432-leaf-sw08;B4COM;CS4148Q-8U;10.225.33.27;i432-GEOP
28;i432-leaf-sw07;B4COM;CS4148Q-8U;10.225.33.28;i432-GEOP
29;i432-leaf-sw06;B4COM;CS4148Q-8U;10.225.33.29;i432-GEOP
30;i432-leaf-sw05;B4COM;CS4148Q-8U;10.225.33.30;i432-GEOP
31;i432-leaf-sw04;B4COM;CS4148Q-8U;10.225.33.31;i432-GEOP
32;i432-leaf-sw03;B4COM;CS4148Q-8U;10.225.33.32;i432-GEOP
33;i432-leaf-sw02;B4COM;CS4148Q-8U;10.225.33.33;i432-GEOP
34;i432-leaf-sw01;B4COM;CS4148Q-8U;10.225.33.34;i432-GEOP
35;i432-iu-sw06;B4COM;CS4148Q-8U;10.225.33.35;i432-GEOP
36;i432-iu-sw05;B4COM;CS4148Q-8U;10.225.33.36;i432-GEOP
37;i432-iu-sw04;B4COM;CS4148Q-8U;10.225.33.37;i432-GEOP
38;i432-iu-sw03;B4COM;CS4148Q-8U;10.225.33.38;i432-GEOP
39;i432-iu-san-sw02;B4COM;CS4148Q-8U;10.225.33.39;i432-GEOP
40;i432-iu-san-sw01;B4COM;CS4148Q-8U;10.225.33.40;i432-GEOP
41;i432-iu-core-sw02;B4COM;CS4148Q-8U;10.225.33.41;i432-GEOP
42;i432-iu-core-sw01;B4COM;CS4148Q-8U;10.225.33.42;i432-GEOP
43;i432-int-sw04;B4COM;CS4148Q-8U;10.225.33.43;i432-GEOP
44;i432-int-sw03;B4COM;CS4148Q-8U;10.225.33.44;i432-GEOP
45;i432-ext-sw04;B4COM;CS4148Q-8U;10.225.33.45;i432-GEOP
46;i432-ext-sw03;B4COM;CS4148Q-8U;10.225.33.46;i432-GEOP
